erk_regime,n_settings,n_significant_p005,min_fraction,mean_fraction,max_fraction,min_density_ratio,mean_density_ratio,max_density_ratio,max_p_value
reference_ERK,5,5,0.6219,0.63202,0.6424,2.056003702724147,2.148433095373085,2.245525727069351,5.2113471892417236e-278
strong_ERK_protection,5,5,0.5589,0.58888,0.6083,1.5838245295851283,1.7954934183282638,1.941217768700536,1.2004033612747556e-116
weak_ERK_protection,5,5,0.6171,0.64298,0.6584,2.014559937320449,2.256973490096987,2.409250585480094,3.444665476803634e-263
