activation_regime,beta_a_R,beta_a_T,n_settings,n_significant_p005,min_fraction,mean_fraction,max_fraction,min_density_ratio,mean_density_ratio,max_density_ratio,min_p_value,max_p_value
local_activation,5.0,3.0,15,15,0.895,0.9068333333333333,0.9136,10.654761904761903,12.211137201925713,13.217592592592592,0.0,0.0
medium_activation,2.5,3.0,15,15,0.5686,0.6220133333333333,0.6574,1.647542883634678,2.071413925019349,2.398569760653824,0.0,7.095678221712441e-137
non_local_activation,1.0,1.2,15,0,0.3865,0.42364666666666667,0.4474,0.7874898125509372,0.9210160370862185,1.0120340209916758,0.2792826567216395,1.0
