activation_regime,beta_a_R,beta_a_T,erk_regime,beta_d_R,beta_d_T,lambda_d,n_replicates,pooled_t_zone_deaths_k,pooled_total_deaths_n,t_zone_area_fraction_p0,pooled_t_zone_fraction,pooled_t_zone_density_ratio,pooled_binomial_p_value_greater,significant_unadjusted_0p05,p_value_display
non_local_activation,1.0,1.2,weak_ERK_protection,4.0,1.6,1.0,10,4348,10000,0.4444444444444445,0.4348,0.9616065109695684,0.9745346561445952,False,0.9745
non_local_activation,1.0,1.2,reference_ERK,2.0,0.8,2.0,10,4345,10000,0.4444444444444445,0.4345,0.9604332449160036,0.9779180565621488,False,0.9779
non_local_activation,1.0,1.2,reference_ERK,2.0,0.8,0.5,10,4305,10000,0.4444444444444445,0.4305,0.9449078138718174,0.9975919404926812,False,0.9976
non_local_activation,1.0,1.2,reference_ERK,2.0,0.8,4.0,10,4244,10000,0.4444444444444445,0.4244,0.921646977067408,0.9999744126277788,False,1.0000
non_local_activation,1.0,1.2,reference_ERK,2.0,0.8,1.0,10,4228,10000,0.4444444444444445,0.4228,0.9156271656271656,0.999993882189691,False,1.0000
non_local_activation,1.0,1.2,strong_ERK_protection,1.0,0.4,0.25,10,4119,10000,0.4444444444444445,0.4119,0.8754888624383609,0.9999999999760952,False,1.0000
non_local_activation,1.0,1.2,strong_ERK_protection,1.0,0.4,1.0,10,4055,10000,0.4444444444444445,0.4055,0.8526072329688814,0.9999999999999984,False,1.0000
non_local_activation,1.0,1.2,strong_ERK_protection,1.0,0.4,0.5,10,4042,10000,0.4444444444444445,0.4042,0.8480194696206781,0.9999999999999998,False,1.0000
non_local_activation,1.0,1.2,strong_ERK_protection,1.0,0.4,2.0,10,3865,10000,0.4444444444444445,0.3865,0.7874898125509372,1.0,False,1.0000
non_local_activation,1.0,1.2,strong_ERK_protection,1.0,0.4,4.0,10,3920,10000,0.4444444444444445,0.392,0.805921052631579,1.0,False,1.0000
